
id_prestamo,fecha_prestamo,fecha_devolucion,id_estado
1,2025-07-26,2025-08-10,1
2,2025-06-28,2025-07-29,2
3,2025-07-12,2025-07-15,2
4,2025-06-29,2025-08-19,2
5,2025-06-28,2025-07-18,1
6,2025-07-10,2025-08-01,2
7,2025-07-15,2025-07-31,1
8,2025-06-22,2025-06-24,3
9,2025-08-03,2025-08-08,3
10,2025-07-12,2025-07-26,1
11,2025-07-10,2025-08-12,1
12,2025-06-11,2025-06-15,2
13,2025-06-21,2025-08-21,2
14,2025-06-08,2025-08-12,3
15,2025-06-07,2025-07-06,2
16,2025-06-22,2025-07-28,2
17,2025-06-21,2025-08-19,3
18,2025-06-22,2025-07-24,1
19,2025-06-22,2025-07-05,2
20,2025-08-04,2025-08-19,3
21,2025-07-27,2025-08-21,2
22,2025-08-03,2025-08-22,2
23,2025-07-22,2025-08-15,1
24,2025-07-01,2025-07-26,1
25,2025-06-07,2025-08-07,3
26,2025-07-01,2025-07-18,3
27,2025-07-07,2025-07-27,2
28,2025-07-26,2025-08-22,1
29,2025-07-19,2025-07-21,2
30,2025-07-27,2025-08-01,1
